Date,Symbol,Close,EMA1,EMA2,MACD,SIGNAL
2018-04-19,QQQ,164.91,163.0668,162.7237,0.3431,-0.8453
2018-04-20,QQQ,162.3,162.9274,162.6833,0.244,-0.7091
2018-04-23,QQQ,161.89,162.7388,162.6078,0.131,-0.6041
2018-04-24,QQQ,158.46,161.9608,162.2128,-0.252,-0.5601
2018-04-25,QQQ,158.65,161.3588,161.8735,-0.5146,-0.5544
2018-04-26,QQQ,161.99,161.4736,161.8846,-0.411,-0.5365
2018-04-27,QQQ,162.09,161.5857,161.9041,-0.3184,-0.5092
2018-04-30,QQQ,160.94,161.4683,161.8123,-0.344,-0.4886
2018-05-01,QQQ,162.78,161.7068,161.9045,-0.1977,-0.4522
2018-05-02,QQQ,161.82,161.7274,161.8964,-0.1691,-0.4168
2018-05-03,QQQ,161.8,161.7406,161.8872,-0.1467,-0.3831
2018-05-04,QQQ,164.87,162.3096,162.1713,0.1382,-0.3179
2018-05-07,QQQ,166.24,163.0242,162.5588,0.4654,-0.22
2018-05-08,QQQ,166.07,163.578,162.8932,0.6848,-0.1069
2018-05-09,QQQ,167.88,164.3602,163.3681,0.992,0.0305
2018-05-10,QQQ,169.62,165.3165,163.9636,1.3529,0.1958
2018-05-11,QQQ,169.46,166.0699,164.487,1.5828,0.3692
2018-05-14,QQQ,169.75,166.739,164.9883,1.7507,0.5419
2018-05-15,QQQ,167.87,166.9446,165.2627,1.6819,0.6844
2018-05-16,QQQ,168.98,167.3147,165.6167,1.6979,0.8111
2018-05-17,QQQ,168.33,167.4993,165.8751,1.6241,0.9127
2018-05-18,QQQ,167.46,167.4921,166.0261,1.4661,0.9819
2018-05-21,QQQ,168.4,167.6572,166.2522,1.405,1.0348
2018-05-22,QQQ,168.18,167.7523,166.4358,1.3165,1.07
2018-05-23,QQQ,169.6,168.0882,166.7371,1.3511,1.1051
2018-05-24,QQQ,169.55,168.354,167.005,1.349,1.1356
2018-05-25,QQQ,169.72,168.6024,167.2636,1.3388,1.161
2018-05-29,QQQ,168.97,168.6692,167.4261,1.2431,1.1713
2018-05-30,QQQ,170.18,168.9439,167.6884,1.2555,1.1818
2018-05-31,QQQ,170.07,169.1486,167.9152,1.2334,1.1882
2018-06-01,QQQ,172.74,169.8016,168.3747,1.4269,1.2181
2018-06-04,QQQ,174.3,170.6195,168.939,1.6805,1.2759
2018-06-05,QQQ,174.84,171.3869,169.501,1.8858,1.3521
2018-06-06,QQQ,175.86,172.2002,170.1066,2.0935,1.4448
2018-06-07,QQQ,174.43,172.6056,170.5184,2.0872,1.5251
2018-06-08,QQQ,174.44,172.9391,170.8919,2.0472,1.5904
2018-06-11,QQQ,174.91,173.2975,171.2746,2.0229,1.6444
2018-06-12,QQQ,175.83,173.7579,171.7084,2.0495,1.6951
